provider,cpu_model,cpu_model_norm,cpu_generation,ram_gb,disk_count,disk_size_gb,disk_type,price_rub,quantity_available,scraped_at
regcloud,2 × Intel Xeon E5-2420,2 × intel xeon e5-2420,Sandy Bridge EP,32,2,480,SSD,13840.0,,2026-05-25
regcloud,Xeon E-2174G,xeon e-2174g,,32,2,1000,HDD,17100.0,,2026-05-25
regcloud,2 × Intel Xeon E5-2630v4,2 × intel xeon e5-2630v4,Broadwell EP,32,2,240,SSD,22865.0,,2026-05-25
regcloud,2 × Intel Xeon Silver 4214R,2 × intel xeon silver 4214r,Cascade Lake,64,2,480,SSD,30800.0,,2026-05-25
regcloud,Xeon W-2255,xeon w-2255,,128,2,480,SSD,60860.0,,2026-05-25
regcloud,2 × Intel Xeon Gold 5317,2 × intel xeon gold 5317,Skylake-SP,512,2,8000,HDD,126825.0,,2026-05-25
regcloud,Xeon E3-1270,xeon e3-1270,Sandy Bridge,8,2,120,SSD,11790.0,,2026-05-25
regcloud,2 × Intel Xeon E5-2650,2 × intel xeon e5-2650,Sandy Bridge EP,32,2,2000,HDD,15660.0,,2026-05-25
regcloud,2 × Intel Xeon E5-2620v2,2 × intel xeon e5-2620v2,Ivy Bridge EP,64,2,4000,HDD,17280.0,,2026-05-25
regcloud,Xeon E3-1230v5,xeon e3-1230v5,Skylake,32,2,240,SSD,17460.0,,2026-05-25
regcloud,2 × Intel Xeon E5-2650,2 × intel xeon e5-2650,Sandy Bridge EP,128,2,4000,HDD,21200.0,,2026-05-25
regcloud,2 × Intel Xeon E5-2630v4,2 × intel xeon e5-2630v4,Broadwell EP,64,2,480,SSD,24820.0,,2026-05-25
regcloud,2 × Intel Xeon E5-2640,2 × intel xeon e5-2640,Sandy Bridge EP,128,2,1000,SSD,27440.0,,2026-05-25
regcloud,2 × Intel Xeon E5-2690v4,2 × intel xeon e5-2690v4,Broadwell EP,64,2,2000,HDD,30600.0,,2026-05-25
regcloud,2 × Intel Xeon Silver 4114,2 × intel xeon silver 4114,Skylake-SP,128,2,4000,HDD,31400.0,,2026-05-25
regcloud,Xeon W-2265,xeon w-2265,,64,2,4000,HDD,31900.0,,2026-05-25
