config_id,cpu_model,cpu_sockets,cpu_cores_per_socket,ram_gb,disks,selectel_price,selectel_currency,selectel_price_period,selectel_plan_id,selectel_match_score,selectel_stock_count,selectel_match_count,reg_cloud_price,reg_cloud_currency,reg_cloud_price_period,reg_cloud_plan_id,reg_cloud_match_score,reg_cloud_stock_count,reg_cloud_match_count,timeweb_price,timeweb_currency,timeweb_price_period,timeweb_plan_id,timeweb_match_score,timeweb_stock_count,timeweb_match_count
MIR-001,Intel Xeon Silver 4214R,2,12,64,2×1000 ГБ SSD,44000.0,RUB,month,PL13-NVMe,80.0,1.0,1.0,,,,,,,,44880.0,RUB,month,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 96 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",80.0,,1.0
MIR-002,Intel Xeon Silver 4214R,2,12,64,2×2000 ГБ SSD,44000.0,RUB,month,PL13-NVMe,100.0,1.0,1.0,,,,,,,,44880.0,RUB,month,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 96 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",100.0,,1.0
MIR-003,Intel Xeon Silver 4214R,2,12,64,2×1000 ГБ NVMe,44000.0,RUB,month,PL13-NVMe,100.0,1.0,1.0,,,,,,,,44880.0,RUB,month,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 96 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",100.0,,1.0
MIR-004,Intel Xeon Silver 4214R,2,12,64,2×2000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-005,Intel Xeon Silver 4214R,2,12,128,2×480 ГБ SSD,51500.0,RUB,month,PL23-NVMe,36.7,1.0,1.0,98700.0,RUB,month,RD-56106,78.3,,1.0,52530.0,RUB,month,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 192 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",36.7,,1.0
MIR-006,Intel Xeon Silver 4214R,2,12,128,2×1000 ГБ SSD,51500.0,RUB,month,PL23-NVMe,80.0,1.0,1.0,98700.0,RUB,month,RD-56106,100.0,,1.0,52530.0,RUB,month,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 192 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",80.0,,1.0
MIR-007,Intel Xeon Silver 4214R,2,12,128,2×2000 ГБ SSD,51500.0,RUB,month,PL23-NVMe,100.0,1.0,1.0,,,,,,,,52530.0,RUB,month,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 192 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",100.0,,1.0
MIR-008,Intel Xeon Silver 4214,2,12,128,2×1000 ГБ NVMe,42500.0,RUB,month,PL22-NVMe,100.0,1.0,1.0,,,,,,,,,,,,,,
MIR-009,Intel Xeon Silver 4214R,2,12,128,2×1000 ГБ NVMe,51500.0,RUB,month,PL23-NVMe,100.0,1.0,2.0,,,,,,,,52530.0,RUB,month,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 192 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",100.0,,1.0
MIR-010,Intel Xeon Silver 4214R,2,12,128,2×2000 ГБ NVMe,54400.0,RUB,month,PBL37-NVMe,80.0,1.0,1.0,,,,,,,,,,,,,,
