config_id,cpu_model,cpu_sockets,cpu_cores_per_socket,ram_gb,disks,miran_price,selectel_price,selectel_currency,selectel_price_period,selectel_plan_id,selectel_match_score,selectel_stock_count,selectel_match_count,reg_cloud_price,reg_cloud_currency,reg_cloud_price_period,reg_cloud_plan_id,reg_cloud_match_score,reg_cloud_stock_count,reg_cloud_match_count,timeweb_price,timeweb_currency,timeweb_price_period,timeweb_plan_id,timeweb_match_score,timeweb_stock_count,timeweb_match_count
MIR-001,E3-1230v3,1,4,8,2×3000 ГБ HDD,7100.0,,,,,,,,,,,,,,,,,,,,,
MIR-002,E3-1230v3,1,4,16,2×480 ГБ SSD,8200.0,,,,,,,,,,,,,,,,,,,,,
MIR-003,E3-1230v3,1,4,16,2×1000 ГБ HDD,7200.0,,,,,,,,,,,,,,,,,,,,,
MIR-004,E3-1230v3,1,4,32,2×3000 ГБ HDD,8550.0,,,,,,,,,,,,,,,,,,,,,
MIR-005,E3-1230v3,1,4,32,2×1000 ГБ HDD,8200.0,,,,,,,,,,,,,,,,,,,,,
MIR-006,E3-1230v3,1,4,32,2×480 ГБ SSD,9150.0,,,,,,,,,,,,,,,,,,,,,
MIR-007,E3-1230v6,1,4,16,2×3000 ГБ HDD,8800.0,,,,,,,,,,,,,,,,,,,,,
MIR-008,E3-1230v6,1,4,16,2×1000 ГБ HDD,8400.0,,,,,,,,,,,,,,,,,,,,,
MIR-009,E3-1230v6,1,4,16,2×480 ГБ SSD,9400.0,,,,,,,,,,,,,,,,,,,,,
MIR-010,E3-1230v6,1,4,16,2×1000 ГБ SSD,10900.0,,,,,,,,,,,,,,,,,,,,,
MIR-011,E3-1230v6,1,4,16,2×2000 ГБ SSD,13100.0,,,,,,,,,,,,,,,,,,,,,
MIR-012,E3-1230v6,1,4,16,2×4000 ГБ SSD,16700.0,,,,,,,,,,,,,,,,,,,,,
MIR-013,E3-1230v6,1,4,16,2×6000 ГБ HDD,10900.0,,,,,,,,,,,,,,,,,,,,,
MIR-014,E3-1230v6,1,4,16,2×8000 ГБ HDD,11600.0,,,,,,,,,,,,,,,,,,,,,
MIR-015,E3-1230v6,1,4,32,2×1000 ГБ SSD,11600.0,,,,,,,,,,,,,,,,,,,,,
MIR-016,E3-1230v6,1,4,32,2×2000 ГБ SSD,13900.0,,,,,,,,,,,,,,,,,,,,,
MIR-017,E3-1230v6,1,4,32,2×512 ГБ SSD,10300.0,,,,,,,,,,,,,,,,,,,,,
MIR-018,E3-1230v6,1,4,32,4×512 ГБ SSD,12100.0,,,,,,,,,,,,,,,,,,,,,
MIR-019,E3-1230v6,1,4,64,2×10000 ГБ HDD,15250.0,,,,,,,,,,,,,,,,,,,,,
MIR-020,E3-1230v6,1,4,64,2×512 ГБ SSD,11900.0,,,,,,,,,,,,,,,,,,,,,
MIR-021,E3-1230v6,1,4,64,2×1000 ГБ SSD,13300.0,,,,,,,,,,,,,,,,,,,,,
MIR-022,E3-1230v6,1,4,64,2×2000 ГБ SSD,15500.0,,,,,,,,,,,,,,,,,,,,,
MIR-023,E3-1240v6,1,4,16,2×3000 ГБ HDD,8800.0,,,,,,,,,,,,,,,,,,,,,
MIR-024,E3-1240v6,1,4,16,2×480 ГБ SSD,9400.0,,,,,,,,,,,,,,,,,,,,,
MIR-025,E3-1240v6,1,4,16,2×1000 ГБ SSD,10900.0,,,,,,,,,,,,,,,,,,,,,
MIR-026,E3-1240v6,1,4,16,2×6000 ГБ HDD,10900.0,,,,,,,,,,,,,,,,,,,,,
MIR-027,E3-1240v6,1,4,32,2×3000 ГБ HDD,9650.0,,,,,,,,,,,,,,,,,,,,,
MIR-028,E3-1240v6,1,4,32,2×480 ГБ SSD,10250.0,,,,,,,,,,,,,,,,,,,,,
MIR-029,E3-1240v6,1,4,32,4×512 ГБ SSD,12100.0,,,,,,,,,,,,,,,,,,,,,
MIR-030,E3-1240v6,1,4,32,2×1000 ГБ SSD,11600.0,,,,,,,,,,,,,,,,,,,,,
MIR-031,E3-1240v6,1,4,64,2×3000 ГБ HDD,11200.0,,,,,,,,,,,,,,,,,,,,,
MIR-032,E3-1240v6,1,4,64,2×480 ГБ SSD,11900.0,,,,,,,,,,,,,,,,,,,,,
MIR-033,E3-1240v6,1,4,64,2×1000 ГБ SSD,13300.0,,,,,,,,,,,,,,,,,,,,,
MIR-034,E3-1240v6,1,4,32,2×1000 ГБ HDD,9150.0,,,,,,,,,,,,,,,,,,,,,
MIR-035,Intel Xeon E-2234,1,4,16,2×1000 ГБ SSD,12700.0,,,,,,,,,,,,,,,,,,,,,
MIR-036,Intel Xeon E-2234,1,4,32,2×480 ГБ SSD,12100.0,,,,,,,,,,,,,,,,,,,,,
MIR-037,Intel Xeon E-2234,1,4,32,2×1000 ГБ SSD,13400.0,,,,,,,,,,,,,,,,,,,,,
MIR-038,Intel Xeon E-2234,1,4,32,2×1000 ГБ NVMe,13900.0,,,,,,,,,,,,,,,,,,,,,
MIR-039,Intel Xeon E-2234,1,4,64,2×480 ГБ SSD,13400.0,,,,,,,,,,,,,,,,,,,,,
MIR-040,Intel Xeon E-2234,1,4,64,2×1000 ГБ SSD,14900.0,,,,,,,,,,,,,,,,,,,,,
MIR-041,Intel Xeon E-2234,1,4,64,2×1000 ГБ NVMe,15250.0,,,,,,,,,,,,,,,,,,,,,
MIR-042,Intel Xeon E-2234,1,4,128,2×1000 ГБ SSD,17700.0,,,,,,,,,,,,,,,,,,,,,
MIR-043,Intel Xeon E-2234,1,4,128,2×1000 ГБ NVMe,18200.0,,,,,,,,,,,,,,,,,,,,,
MIR-044,Intel Xeon E-2234,1,4,128,2×2000 ГБ NVMe,21250.0,,,,,,,,,,,,,,,,,,,,,
MIR-045,Intel Xeon E-2236,1,6,16,2×480 ГБ SSD,11000.0,,,,,,,,,,,,,,,11960.0,RUB,month,E-2236 / 16 / 480,100.0,,1.0
MIR-046,Intel Xeon E-2236,1,6,32,2×480 ГБ SSD,11600.0,12800.0,RUB,month,EL11-SSD,100.0,14.0,2.0,,,,,,,,,,,,,,
MIR-047,Intel Xeon E-2236,1,6,32,2×1000 ГБ SSD,13200.0,16600.0,RUB,month,EL12-NVMe,100.0,2.0,1.0,,,,,,,,,,,,,,
MIR-048,Intel Xeon E-2236,1,6,32,2×4000 ГБ SSD,19400.0,,,,,,,,,,,,,,,,,,,,,
MIR-049,Intel Xeon E-2236,1,6,32,2×1000 ГБ NVMe,13450.0,16600.0,RUB,month,EL12-NVMe,100.0,2.0,1.0,,,,,,,,,,,,,,
MIR-050,Intel Xeon E-2236,1,6,32,2×2000 ГБ NVMe,16500.0,,,,,,,,,,,,,,,,,,,,,
